sample.point,mortality.class,Car_2,Omn_16,Ins_29,Gra_1,Verm_1
P37,HiA,0,0.5,7,0,0
P69,HiA,0,4,9,0,0
P70,HiA,0,3,3,0,0
P184,HiB,0,1,2,0,0
P187,HiB,0,3,12,0,0
P188,HiB,0,5,16,1,0
P189,HiB,0,1,5,0,0
P195,HiB,0,2,4.5,0.5,0
P196,HiB,0,2,6,0,0
P197,HiB,0,3,5,0,0
P703,Low,0,0.5,6.5,0,0
P704,Low,0,1,5.5,0,0
P705,Low,0,2,6,0,0
P706,Low,0,1,4.5,0,0
P707,HiB,0,2,7.5,0,1.5
P708,Low,0,1,4,0,0
P710,HiB,0,3,6,0.5,0
P711,Low,0,0.5,10,0,0.5
P712,Low,0,0.5,6.5,0,0
P713,Med,0,0,5,0,0
P714,Med,0,0.5,4,0,0
P715,Med,0,0,4.5,0,0
P716,Med,0,2,5,0,0.5
P717,Med,0,2.5,2.5,0.5,0
P718,Med,0,5,3,0,0
P719,HiA,0,2,2,0,0
P720,Med,0,4,2.5,0,0
P721,HiA,0,4,4.5,0,0
P723,Med,0,2,4,0,0
P724,HiA,0,1.5,2.5,0,0
P725,HiB,0,3,3.5,0.5,0
P727,HiA,0,7.5,4,0.5,0
P728,HiA,0,2.5,6,0,0
P730,HiB,0,4,4.5,0,0
P734,HiA,0,5,8,0.5,0
P735,HiA,0,3.5,6.5,0,0
P736,Low,0,1,4,0.5,0
P737,Low,0,0.5,8,0,0
P739,Low,0,2,4.5,0,0
P740,Low,0,1.5,4.5,0,0
